codeWilaya,Wilaya,MoughataaFr,Commune,Center,bureau,Candidat,Wilaya_ar,MoughataaAr,Commune_ar,Center_ar,bureau_ar,CandidatAr,Type,TypeAr,nbr_Inscrits,nb_bulletin,nb_votant_neutre,nb_votant_null,nb_vote
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,317,102,0,5,3
00,Etranger,Afrique,Guinée Bissau,Bafata,Bafata  01,Biram Dah  Abeid,الخارج,إفريقيا,غينيا بيساو,بافاتا,بافاتا  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,317,102,0,5,8
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,423,227,0,7,90
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,423,227,0,7,0
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Hamadi Sid’El Moctar Mohamed Abdi,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,حمادى  سيد المختار محمد عبدى,Présidentielles,الرئاسية,423,227,0,7,91
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Outouma Antoine Souleymane Soumaré,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,أوتوما أنتوان  سليمان سومارى,Présidentielles,الرئاسية,423,227,0,7,0
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Mamadou Bocar Ba,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,مامادو  بوكار با,Présidentielles,الرئاسية,423,227,0,7,1
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,El Id Mohameden M’Bareck,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,العيد  محمدن امبارك,Présidentielles,الرئاسية,423,227,0,7,17
00,Etranger,Afrique,Guinée Bissau,Ambdassade-Bissau,Ambdassade-Bissau  01,Biram Dah  Abeid,الخارج,إفريقيا,غينيا بيساو,السفارة بيساو,السفارة بيساو  01,بيرام الداه    اعبيد,Présidentielles,الرئاسية,423,227,0,7,21
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   03,Mohamed Cheikh Ghazouani,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  03,محمد   الشيخ الغزواني,Présidentielles,الرئاسية,882,419,5,8,74
00,Etranger,Afrique,Côte d'Ivoire,Abidjan-Ambassade ,Abidjan-Ambassade   03,Mohamed Lemine El Mourteji  El Wavi,الخارج,إفريقيا,ساحل العاج,السفارة ابدجان,السفارة ابدجان  03,محمد الامين  المرتجي الوافي,Présidentielles,الرئاسية,882,419,5,8,7
